id,title,grade,department_id
01M0G8JD3EXPTR7H4K2QWMXYZS,Trainee Explorer,1,01M0G8JD29QC5EBEC8X70WYN2G
01M0G8JD3EXPJR7H4K2QWMXYZS,Junior Explorer,2,01M0G8JD29QC5EBEC8X70WYN2G
01M0G8JD3EXPMD7H4K2QWMXYZS,Medior Explorer,3,01M0G8JD29QC5EBEC8X70WYN2G
01M0G8JD2A2NSGEHYYZR1GT6BW,Senior Explorer,4,01M0G8JD29QC5EBEC8X70WYN2G
01M0G8JD3EXPRT7H4K2QWMXYZS,Retired Explorer,5,01M0G8JD29QC5EBEC8X70WYN2G
01M0G8JD3NAVTR7H4K2QWMXYZS,Trainee Navigator,1,01M0G8JD2AQB3R6MX4254PDZW4
01M0G8JD3NAVJR7H4K2QWMXYZS,Junior Navigator,2,01M0G8JD2AQB3R6MX4254PDZW4
01M0G8JD3NAVMD7H4K2QWMXYZS,Medior Navigator,3,01M0G8JD2AQB3R6MX4254PDZW4
01M0G8JD2AVTZFDTPM97EY2RTB,Senior Navigator,4,01M0G8JD2AQB3R6MX4254PDZW4
01M0G8JD3NAVRT7H4K2QWMXYZS,Retired Navigator,5,01M0G8JD2AQB3R6MX4254PDZW4
01M0G8JD3ENGTR7H4K2QWMXYZS,Trainee Engineer,1,01M0G8JD2ENG9R7H4K2QWMYXBS
01M0G8JD3ENGJR7H4K2QWMXYZS,Junior Engineer,2,01M0G8JD2ENG9R7H4K2QWMYXBS
01M0G8JD3ENGMD7H4K2QWMXYZS,Medior Engineer,3,01M0G8JD2ENG9R7H4K2QWMYXBS
01M0G8JD3ENGSR7H4K2QWMXYZS,Senior Engineer,4,01M0G8JD2ENG9R7H4K2QWMYXBS
01M0G8JD3ENGRT7H4K2QWMXYZS,Retired Engineer,5,01M0G8JD2ENG9R7H4K2QWMYXBS
01M0G8JD3TSTTR7H4K2QWMXYZS,Trainee Tester,1,01M0G8JD2TST4H7N2K9QWMXYBR
01M0G8JD3TSTJR7H4K2QWMXYZS,Junior Tester,2,01M0G8JD2TST4H7N2K9QWMXYBR
01M0G8JD3TSTMD7H4K2QWMXYZS,Medior Tester,3,01M0G8JD2TST4H7N2K9QWMXYBR
01M0G8JD3TSTSR7H4K2QWMXYZS,Senior Tester,4,01M0G8JD2TST4H7N2K9QWMXYBR
01M0G8JD3TSTRT7H4K2QWMXYZS,Retired Tester,5,01M0G8JD2TST4H7N2K9QWMXYBR
01M0G8JD3MNTTR7H4K2QWMXYZS,Trainee Maintenance Technician,1,01M0G8JD2MNT7R4H2K9QWXYZBS
01M0G8JD3MNTJR7H4K2QWMXYZS,Junior Maintenance Technician,2,01M0G8JD2MNT7R4H2K9QWXYZBS
01M0G8JD3MNTMD7H4K2QWMXYZS,Medior Maintenance Technician,3,01M0G8JD2MNT7R4H2K9QWXYZBS
01M0G8JD3MNTSR7H4K2QWMXYZS,Senior Maintenance Technician,4,01M0G8JD2MNT7R4H2K9QWXYZBS
01M0G8JD3MNTRT7H4K2QWMXYZS,Retired Maintenance Technician,5,01M0G8JD2MNT7R4H2K9QWXYZBS
